Algorithm,PatronCount,Seed,UniquePatrons,OrdersCompleted,Runtime(ms),Throughput
SJF,30,30,30,145,14592,0.009936951754385965
SJF,30,42,30,145,45390,0.0031945362414628775
SJF,30,256,30,145,82293,0.001761996767647309
SJF,30,512,30,145,152462,0.000951056656740696
SJF,30,999,50,258,17178,0.015019210618232623
SJF,50,7,50,258,22513,0.011460045307155865
SJF,50,30,50,258,25631,0.010065935780890328
SJF,50,42,50,258,80564,0.0032024229184251032
SJF,50,256,50,258,146402,0.0017622710072266773
SJF,50,512,50,258,271537,0.0009501467571638488
SJF,50,999,70,353,22973,0.015365864275453793
SJF,70,7,70,353,30916,0.011418035968430586
SJF,70,30,70,353,35298,0.01000056660434019
SJF,70,42,70,353,110360,0.0031986226893802104
SJF,70,256,70,353,200481,0.0017607653593108574
SJF,70,512,70,353,371991,0.0009489476895946407
SJF,70,999,100,435,28235,0.015406410483442537
SJF,100,7,100,435,38253,0.011371657124931378
SJF,100,30,100,435,43426,0.010017040482660158
SJF,100,42,100,435,136167,0.0031946066227500057
SJF,100,256,100,435,247375,0.0017584638706417382
SJF,100,512,100,435,458646,0.0009484438979081906
